"nachname","vorname","ort","partei","titel","geschaeftsnummer"
"Kradolfer","Dean",,"FDP","Interpellation von Robin Spiri, Jacob Auer, Jost Rüegg, Oliver Martin, Marcel Wittwer, Dean Kradolfer vom 28. August 2024 \"Gewährleistung von Bargeldzahlungen in kantonalen Einrichtungen\"","2024/IN 5/50"
"Vetterli","Daniel",,"SVP","Interpellation von Daniel Vetterli, Aline Indergand vom 28. August 2024 \"Handyverbot an Thurgauer Volksschulen\"","2024/IN 6/51"
"Indergand","Aline",,"SVP","Interpellation von Daniel Vetterli, Aline Indergand vom 28. August 2024 \"Handyverbot an Thurgauer Volksschulen\"","2024/IN 6/51"
"Sontheim","Marion",,"SP","Interpellation von Marion Sontheim, Sandra Stadler, Ciril Schmidiger, Brigitta Engeli vom 28. August 2024 \"KulturLegi an den Musikschulen im Thurgau\"","2024/IN 7/52"
"Stadler","Sandra",,"Die Mitte","Interpellation von Marion Sontheim, Sandra Stadler, Ciril Schmidiger, Brigitta Engeli vom 28. August 2024 \"KulturLegi an den Musikschulen im Thurgau\"","2024/IN 7/52"
"Schmidiger","Ciril",,"SVP","Interpellation von Marion Sontheim, Sandra Stadler, Ciril Schmidiger, Brigitta Engeli vom 28. August 2024 \"KulturLegi an den Musikschulen im Thurgau\"","2024/IN 7/52"
"Engeli-Sager","Brigitta",,"GRÜNE","Interpellation von Marion Sontheim, Sandra Stadler, Ciril Schmidiger, Brigitta Engeli vom 28. August 2024 \"KulturLegi an den Musikschulen im Thurgau\"","2024/IN 7/52"
"Walzthöny","Gabriel",,"Die Mitte","Einfache Anfrage von Gabriel Walzthöny vom 11. September 2024 \"Ausgewogene und sachliche Information bei Abstimmungen\"","2024/EA 13/55"
"Engeli-Sager","Brigitta",,"GRÜNE","Einfache Anfrage von Brigitta Engeli-Sager vom 11. September 2024 \"Schule und Digitalität - Wohin steuert das Amt für Volksschule?\"","2024/EA 14/56"
"Dietz","Mathias",,"EVP","Einfache Anfrage von Mathias Dietz vom 11. September 2024 \"Mehr Sicherheit auf dem Schulweg - Leuchtwesten für die Thurgauer Schülerinnen und Schüler\"","2024/EA 15/57"
"Zbinden","Ruedi",,"SVP","Einfache Anfrage von Ruedi Zbinden, Heinz Keller, Raffaella Strähl-D'Ambrosio, Claude Brunner vom 11. September 2024 \"RRB 582 vom 27. August 2024 Ausbildungskapazitäten gemäss TG KVG und Bundesgesetz über die Förderung der Ausbildung im Bereich der Pflege\"","2024/EA 16/58"
"Keller","Heinz",,"SVP","Einfache Anfrage von Ruedi Zbinden, Heinz Keller, Raffaella Strähl-D'Ambrosio, Claude Brunner vom 11. September 2024 \"RRB 582 vom 27. August 2024 Ausbildungskapazitäten gemäss TG KVG und Bundesgesetz über die Förderung der Ausbildung im Bereich der Pflege\"","2024/EA 16/58"
"Strähl-D'Ambrosio","Raffaella",,"SVP","Einfache Anfrage von Ruedi Zbinden, Heinz Keller, Raffaella Strähl-D'Ambrosio, Claude Brunner vom 11. September 2024 \"RRB 582 vom 27. August 2024 Ausbildungskapazitäten gemäss TG KVG und Bundesgesetz über die Förderung der Ausbildung im Bereich der Pflege\"","2024/EA 16/58"
"Brunner","Claude",,"SVP","Einfache Anfrage von Ruedi Zbinden, Heinz Keller, Raffaella Strähl-D'Ambrosio, Claude Brunner vom 11. September 2024 \"RRB 582 vom 27. August 2024 Ausbildungskapazitäten gemäss TG KVG und Bundesgesetz über die Förderung der Ausbildung im Bereich der Pflege\"","2024/EA 16/58"
"Greber","Kenny",,"SP","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
"Schallenberg","Turi",,"SP","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
"Hauser","Cornelia",,"GRÜNE","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
"Graf","Ulrich",,"SVP","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
"Pasche-Strasser","Corinna",,"Die Mitte","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
"Dietz","Mathias",,"EVP","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
"Hug","Celina",,"GLP","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
"Spiri","Robin",,"Aufrecht","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
